==============================================
   校长我来当 - 游戏全部文本（平台/工单审核用）
   版本: v3.7 (versionCode 29)
   包名: com.arktools.xiaozhang
   生成时间: 2026-06-28 00:45:10
   扫描范围: app/src/main/java, app/src/main/res
   总计: 6098 条唯一文本（含动态模板）
   纯文本: 4877 条
   动态模板: 1221 条
   XML/资源文本: 4 条
==============================================

【说明】
- 本文档用于题材/文本审核工单，汇总当前版本游戏内文本。
- 带 $、变量占位、格式化占位或换行标记的是动态文本模板，运行时会替换为具体数值/名称或换行。
- “来源文件”仅用于审核定位，不包含源码内容。
- 已尽量过滤包名、内部 key、路径等非玩家可见工程字符串；如审核要求全量代码字符串，可再补充未过滤版本。

===== 第一部分：纯文本（4877条）=====

1. "#,##0"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
2. "#,##0.0"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
3. "#1976D2"
   来源文件: app/src/main/res/values/colors.xml
4. "#4CAF50"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
5. "#9C27B0"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
6. "#F44336"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
7. "#FF9800"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
8. "(慎)"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
9. ") {"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/repository/StudentRepositoryImpl.kt
10. ")}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/conference/AcademicConferenceManager.kt, app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt, app/src/main/java/com/arktools/xiaozhang/ui/conference/ConferenceScreen.kt
11. "+1 招生加成"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
12. "+3 招生加成"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
13. "+30万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
14. "+5 招生加成"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
15. "+8 招生加成"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
16. ", -cash)}万元，请尽快扭亏为盈。"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/PressureSystemManager.kt
17. ", -diff * 100)}个百分点，家长不满情绪上升"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/PressureSystemManager.kt
18. ", absValue / 10000)}亿"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
19. ", absValue)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
20. ", alumniEvent.amount)}！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
21. ", amount)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
22. ", amount)} 万入个人账户"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
23. ", amount)} 万到个人账户"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
24. ", amount)} 万）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
25. ", application.clubType.monthlyCost)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/club/ClubScreen.kt
26. ", availableCash)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
27. ", candidate.monthlySalary)}万"
